itemname,item_freq,wordroot,root_freq,focus,wordclass,variant,modified
khneki,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kragan,2,karo,23,處所焦點,,krawan,False
dtado,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
serus,4,serus,15,,動詞,,False
pgaya,2,Gaya,104,零焦點標記,,,False
ptgesa,5,tgesa,76,零焦點標記,,,False
grmi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qmequm,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
psaun,77,paha,532,受事焦點,,,False
tglayan,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gasoring,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
slmeyun,7,salu,189,受事焦點,,slmeun,False
pahu,1,pahu,34,,動詞,,False
nmahan,6,imah,125,處所焦點,,,False
dae,5,oda,499,處所焦點,,,False
pnstiyu,2,tiyu,8,參考焦點,,,False
cmagan,1,cmagan,1,,名詞,,False
boki,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sgao,1,gao,18,參考焦點,,,False
salu,2,salu,189,,動詞,,False
tqiyo,1,taqi,93,受事焦點,,,False
mnatis,1,patis,219,主事焦點,,,False
puso,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sepu,3,sepu,22,,動詞,,False
nteni,1,netun2,59,受事焦點,,,False
traki,1,traki,3,,動詞,,False
dmati,1,damac,32,受事焦點,,,False
mgakac,1,gakac,19,主事焦點,,,False
nnkdalax,1,kndalax,109,參考焦點,,,False
mqiri,14,qiri,32,名詞性標記,,參考 plahi,False
pilo,1,ilo,19,名詞性標記,,pilo,True
msngari,14,-ngari-,52,主事焦點,,,False
sdaring,1,sdaring,2,,動詞,,False
dngeyan,1,dengu,58,處所焦點,,,False
pinpucu,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
cmeyax,4,ceyax,10,主事焦點,,,False
klabi,3,klabi,3,,名詞,,False
cneka,1,ceka,60,受事焦點,,,False
nnamu,1,nnamu,1,,名詞,,False
gmeyu,1,geyu,13,主事焦點,,,False
mgduwa,1,mgduwa,1,,動詞,,False
ktruun,1,teru,97,受事焦點,,,False
ptyexi,1,eyux,27,受事焦點,,,False
duma,84,duma,84,,名詞,,False
meelih,3,keelih,5,主事焦點,,,False
sbgihun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smrebu,2,rebu,51,主事焦點,,,False
stenge,11,stenge,14,,動詞,,False
slaale,3,plaale,28,參考焦點,,slale,False
hlidun,2,hilic,4,受事焦點,,,False
singas,1,singas,1,,名詞,,False
prngai,2,range,20,受事焦點,,,False
tpelaq,2,tpelaq,2,,名詞,,False
braqu,4,braqu,4,,名詞,,False
snklaya,1,-sklaya-,2,受事焦點,,,False
pshengak,2,hengak,23,受事焦點,,,False
qtae,2,qita,690,零焦點標記,,qtae,True
snagun,4,sino,90,受事焦點,,,False
smagan,2,smagan,2,,名詞,,False
ciyun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
uyas,29,uyas,130,,名詞,,False
kdrai,1,kdira,7,受事焦點,,,False
nmantocu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnaqan,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tghngali,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rbuni,1,rbuni,4,,名詞,,False
pixin,6,pixin,7,,名詞,pixil,False
plkusun,9,lukus,268,受事焦點,,,False
mnsnpusal,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tungiyo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sgliqi,1,galiq,39,受事焦點,,,False
skului,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kudamono,2,kudamono,2,,名詞,,False
smebuc,10,sebuc,14,主事焦點,,需要確認????,False
gdraun,1,dara2,47,受事焦點,,,False
slegun,1,eluw,175,受事焦點,,,False
yubing,1,yubing,1,,名詞,,False
jmigil,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
psramal,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sapa,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
thyaun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mekan,180,ekan,281,主事焦點,,,False
waga,51,gaga,2280,,多重詞性,ga; waga,True
gluwan,1,gaalu,38,處所焦點,,,False
garang,1,garang,9,,動詞,,False
psrubu,1,-rubu-,10,參考焦點,,,False
giman,1,igin,15,處所焦點,,,False
ptuting,7,tuting,128,主事焦點,,,False
ptrima,1,trima,24,主事焦點,,,False
bbege,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qnnuqah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mbari,1,baruy,137,主事焦點,,,False
mnpiya,3,piya,45,主事焦點,,,False
prqeda,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
phrnasun,1,hrinas,18,受事焦點,,,False
qqtaan,4,qita,690,處所焦點,,,False
plepin,1,plepil,3,,多重詞性,plepin,True
mggarang,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qecul,1,qecul,13,,動詞,qecun,False
trao,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
khmeti,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sapah,473,sapah,513,,名詞,,False
tnqliyan,1,tquli,1,處所焦點,,,False
tpunu,1,tpunu,1,,名詞,tnpunu,False
prwahi,1,raguh,24,受事焦點,,,False
oriru,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lleing,1,leing,26,零焦點標記,,,False
bunuh,40,bunuh,52,,名詞,,False
ruda,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mntaring,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hngali,10,hngali,10,,名詞,,False
pnhmaan,48,phuma,176,處所焦點,,,False
bakecu,1,bakecu,1,,名詞,,False
sbege,16,bege,104,參考焦點,,,False
meeniq,5,eniq,675,主事焦點,,menaq; meeniq,True
tguhuwe,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
cepiq,1,cepiq,4,,動詞,,False
bindo,2,bindo,2,,名詞,,False
ptbale,7,bale,956,零焦點標記,,,False
ni,22,nii,1974,,動詞,ni,True
kdngelan,1,dengul,6,處所焦點,,,False
benjyo,2,benjyo,2,,名詞,,False
sntruma,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
dnkaan,1,deka,17,處所焦點,,,False
srbegan,1,rebu,51,處所焦點,,,False
mttanah,6,tanah,132,零焦點標記,,,False
kkela,2,kela,519,零焦點標記,,NULL,False
rurlu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
slutuc,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
krebu,4,krebu,4,,名詞,,False
sapac,3,sapac,3,,名詞,,False
