itemname,item_freq,wordroot,root_freq,focus,wordclass,variant,modified
para,1,para,1,,名詞,,False
pgyaun,7,Gaya,104,受事焦點,,,False
stlexan,1,ktilux,55,處所焦點,,,False
intina,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
knlangan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mkslhayun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pngui,1,pungu,22,受事焦點,,,False
rmniyux,1,riyux,52,主事焦點,,,False
deur,3,deur,20,,多重詞性,deun,False
pstrengun,1,sterung,40,名詞性標記,,,False
tqada,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lungu,3,lungu,22,,動詞,,False
pgerung,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
anq,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
klaan,11,kela,519,受事焦點,,,False
sgimax,2,gimax,25,參考焦點,,,False
ulu,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
jipongl,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
buuc,32,buuc,32,,名詞,種子 需要例句,False
jyonengl,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
jpusil,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pprngagn,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kdesan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gnhiyan,2,hei,13,處所焦點,,,False
rahuc,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qnabil,8,qnabil,15,,名詞,qnabin,False
harac,23,harac,40,,名詞,,False
tkurih,8,tkurih,8,,名詞,,False
sktama,9,tama,502,名詞性標記,,,False
mgrahun,1,mgrahun,1,,動詞,,False
daquc,2,daquc,6,,多重詞性,,False
qahan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
meniq,158,eniq,675,主事焦點,,menaq; meeniq,False
durang,10,durang,20,,多重詞性,,False
brihuc,2,brihuc,2,,名詞,,False
hlawi,2,hilo,24,受事焦點,,hlawi,True
ngiya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qndheriq,1,dheriq,27,零焦點標記,,,False
wino,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lmuwo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kndwaun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
phdagi,7,hido,104,受事焦點,,hdagi,False
mhanguc,2,hanguc,58,主事焦點,,,False
gnlganan,1,lgelu,26,處所焦點,,,False
psqrinuc,4,qrinuc,9,參考焦點,,,False
mpsterung,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kkesa,8,kkesa,78,,動詞,,False
srmusaq,1,srmusaq,2,,動詞,,False
cingcaw,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nrudan,9,rudan,544,名詞性標記,,,False
dngei,3,dengu,58,受事焦點,,,False
eki,1,eki,1,,名詞,,False
qsingun,1,qising,11,受事焦點,,,False
mnpahung,1,pahung,18,主事焦點,,,False
rehay,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
dsanan,1,adis,228,處所焦點,,,False
liingi,4,leing,26,受事焦點,,lingi,False
tleetu,19,tleetu,22,,動詞,,False
pkmekul,1,kmekul,38,主事焦點,,,False
ptpatis,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tllingis,1,lingis,35,參考焦點,,,False
kbekui,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qusiya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gmsegus,1,gsegus,8,主事焦點,,,False
skingal,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
npaan,2,apa,187,處所焦點,,,False
mpdurun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nita,15,nita 2,15,,名詞,,True
qrequr,1,qrequr,9,,動詞,,False
cula,4,cula,13,,多重詞性,,False
bok,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pseung,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
spbhurun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
stiyun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
stkuhan,1,tikuh,289,參考焦點,,,False
mpgeyu,1,geyu,13,主事焦點,,,False
kntheya,2,theya,23,零焦點標記,,,False
pawa,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sbirac,1,birac,29,參考焦點,,,False
jyonensel,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mtrangi,1,rangi,3,受事焦點,,,False
plpingun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rumu,12,rumu,17,,名詞,,False
htiyan,4,hiti,45,處所焦點,,,False
sanyi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mhemuc,23,hemuc,85,主事焦點,,,False
sqlahangan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sdaling,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
khekus,2,khekus,2,,名詞,,False
trmai,1,trima,24,受事焦點,,,False
pqyuxi,1,quyux,84,受事焦點,,,False
sere,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tmamun,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mtbleyaq,3,bleyaq,76,零焦點標記,,,False
ptuku,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smbbirac,1,birac,29,零焦點標記,,,False
mssneeru,1,sneeru,13,主事焦點,,,False
sblebin,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnspuwan,2,upu,100,處所焦點,,,False
pkdengu,1,dengu,58,主事焦點,,,False
dmahur,5,dahur,9,主事焦點,,,False
qlengo,1,qulung,16,受事焦點,,,False
tnbugan,17,tabu,52,處所焦點,,,False
dpawan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tndemu,1,tndemu,1,,名詞,,False
qyexun,1,quyux,84,受事焦點,,qyuxun,False
jzutol,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qcelun,1,qecul,13,受事焦點,,,False
mbiki,3,biki,8,主事焦點,,,False
knkdesan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kayyobi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
dori,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
perih,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kemux,1,kemux,1,,動詞,,False
tlengun,4,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rdrudan,11,rudan,544,名詞性標記,,,False
knbnuhan,2,bunuh,52,,名詞,,False
nangal,3,angal,424,受事焦點,,nangan,False
rbuqin,2,rbuqin,2,,名詞,,False
msbarux,4,kbarux,47,主事焦點,,,False
liingan,1,leing,26,處所焦點,,lingan,False
jkosuyl,4,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nape,9,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
curung,3,curung,3,,名詞,,False
kekong,2,kekong,2,,多重詞性,,False
keegu,8,egu,250,零焦點標記,,,False
kddiyan,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
espikal,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pkdiida,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnaadis,3,adis,228,受事焦點,,,False
ttqiyan,5,taqi,93,處所焦點,,,False
mkmseyang,1,seyang,80,主事焦點,,,False
imah,3,imah,125,,名詞,,False
mtena,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mhmetan,1,hemuc,85,處所焦點,,,False
qoqo,3,qoqo,3,,名詞,,False
qmapi,5,qapi,25,主事焦點,,,False
hbaluc,1,hbaluc,7,,動詞,,False
gokang,1,Gokang,1,,名詞,,False
gnuguwan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
glaanun,1,gaalu,38,受事焦點,,,False
qmada,7,qada,25,主事焦點,,,False
kdiyun,1,kadi,14,受事焦點,,,False
b,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nnapa,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pndngusun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gbilun,1,gabil,14,受事焦點,,,False
hawan,12,hawan,12,,動詞,,False
smhlis,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kmhako,1,hako,39,主事焦點,,,False
qalux,28,qalux,43,,名詞,,False
dgeras,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sudu,77,sudu,81,,名詞,,False
bubuy,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kmulu,1,kulu,23,主事焦點,,,False
epux,8,epux,17,,多重詞性,,False
qduriq,22,qduriq,33,,動詞,,False
smiling,14,siling,24,主事焦點,,,False
seihu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
quru,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qrasan,1,qaras,67,參考焦點,,,False
deiyung,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sqqaras,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
yesu,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tnguro,5,tnguro,5,,名詞,,False
bqani,2,bege,104,參考焦點,,,False
suwai,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hmedun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
uniinu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mkonghunl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hangkaci,1,hangkaci,1,,名詞,,False
brexuu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ktqeran,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
drangi,1,durang,20,受事焦點,,,False
ridil,1,ridil,2,,動詞,ridin,False
sknexan,4,skenux,36,處所焦點,,,False
rqling,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ptekan,1,tekan,23,零焦點標記,,,False
mkmaha,1,paha,532,主事焦點,,,False
hido,44,hido,104,,名詞,,False
srpunga,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tara,8,tara,43,,動詞,,False
kndaan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nasubi,1,nasubi,1,,名詞,,False
qtapi,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tgsai,5,tgesa,76,受事焦點,,,False
pqburang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mnddengu,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kniyun,1,kuni,13,受事焦點,,,False
pntpaan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
platuc,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nikisun,3,nikisun,3,,名詞,,False
pqpahi,2,qeepah,228,受事焦點,,,False
srengo,10,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
jhayail,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
omocya,4,omocya,4,,名詞,,False
nugeyun,1,egu,250,受事焦點,,nugeun,False
llaxan,3,alix,95,處所焦點,,,False
mskingal,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ceexi,1,ceyax,10,受事焦點,,,False
jkuromanel,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mpberih,2,berih,46,主事焦點,,,False
sceyax,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mndengu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
shadun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
telu,9,Telu,9,,名詞,,False
lntudan,3,lutuc,28,處所焦點,,,False
kmbegax,1,begax,8,零焦點標記,,,False
pungu,18,pungu,22,,名詞,,False
spuo,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
plawa,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
muhir,2,uhir,10,主事焦點,,muhin,False
splhelah,1,plhelah,5,參考焦點,,,False
rnhuqan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mssruwa,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lmlamu,3,lmlamu,3,,名詞,,False
gdaani,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mekuy,3,bekuy,29,主事焦點,,,False
plnguwan,1,lungu,22,,名詞,,False
thiki,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mlgila,1,sgila,16,主事焦點,,,False
hangan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bbtaqan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
didi,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mhurah,2,hurah,14,主事焦點,,,False
mtungari,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
thii,2,thei,57,受事焦點,,,False
qnlahang,2,qlahang,61,主事焦點,,,False
ciqo,1,ciqo,1,,動詞,,False
qmburang,4,qburang,5,主事焦點,,,False
bbiyan,19,bbiyan,25,,動詞,,False
kdongi,1,kodung,5,受事焦點,,kdungi,False
pnunuh,1,nunuh,16,受事焦點,,,False
kagami,1,kagami,1,,名詞,,False
kagun,3,kagun,9,,名詞,kawin,False
knbarux,4,kbarux,47,受事焦點,,,False
sdharun,1,sdahar,11,受事焦點,,,False
mgrabu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnsugan,3,asuw2,53,處所焦點,,,False
thbehuk,2,thbehuk,2,,動詞,,False
cntruwan,1,cntruwan,1,,其它,,False
jnannichil,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qmemul,2,qemul,8,主事焦點,,,False
pneeyax,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pndaha,1,daha1,125,零焦點標記,,,False
suyyobi,2,suyyobi,2,,名詞,,False
mlama,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
stlangun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mheyan,17,pheyal,42,主事焦點,,mheyan,True
mnahu,3,pahu,34,受事焦點,,,False
jhatal,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sriso,8,riso,118,參考焦點,,,False
skkuhun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
atak,15,atak,43,,多重詞性,,False
snpuga,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mi,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
duxin,1,duxin,1,,名詞,,False
bungun,4,ubung,19,受事焦點,,,False
kdengu,4,dengu,58,參考焦點,,,False
horay,4,horay,4,,名詞,,False
plmkuan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snlmean,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gurai,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pptasan,2,patis,219,名詞性標記,,,False
knbunuh,1,bunuh,52,受事焦點,,,False
nansayl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pkaguh,1,kaguh,6,零焦點標記,,,False
kahaya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
byakun,2,buyak,13,受事焦點,,,False
lwaqan,1,liwaq,7,處所焦點,,,False
mnbberas,1,beras,26,主事焦點,,,False
hwinuk,3,hwinuk,3,,名詞,,False
mkmetaq,1,betaq 2,78,主事焦點,,,False
qbnhangan,1,qbahang,70,處所焦點,,,False
lmneing,1,leing,26,主事焦點,,,False
ksange,3,sange,21,零焦點標記,,,False
uncuun,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kngihun,2,ngihun,15,名詞性標記,,,False
awi,52,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qdqudun,2,quduq,8,受事焦點,,,False
nebuq,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nduhan,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pceka,1,pceka,1,,名詞,,False
truku,9,Truku,9,,名詞,,False
hnqili,1,huqil,57,受事焦點,,,False
pniicin,2,icin,73,零焦點標記,,pnuicin,False
pucaq,34,pucaq,34,,名詞,,False
phlawi,1,hilo,24,受事焦點,,phlagi,False
gmeqi,1,geqi,23,主事焦點,,,False
desine,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mseyaq,7,seyaq,10,主事焦點,,,False
mmuli,1,mumul,4,受事焦點,,,False
pphlingun,1,huling,226,受事焦點,,,False
pqemi,3,qemi,15,主事焦點,,,False
rango,3,rango,3,,名詞,,False
kbhege,2,bhege,66,零焦點標記,,,False
hutong,3,hutong,3,,名詞,,False
jcugosayl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mppulas,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rnngrangan,1,rngerang,7,處所焦點,,,False
psmyahun,4,eyah,417,,名詞,,False
tuc,4,tuc,4,,多重詞性,,False
jkireil,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sbrihun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snqaras,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tlusun,5,tulus,26,受事焦點,,,False
kati,2,kati,2,,動詞,,False
btnux,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mita,116,qita,690,主事焦點,,mita,True
mdako,1,dako,2,主事焦點,,,False
ngalo,1,angal,424,受事焦點,,,False
sunan,1,sunan,1,,名詞,,False
qmnita,10,qita,690,主事焦點,,mnita,False
qdaani,5,qada,25,主事焦點,,,False
mkhmanguc,1,hanguc,58,主事焦點,,,False
smeun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mgeqi,1,geqi,23,主事焦點,,,False
smrahuq,2,rahuq,22,,名詞,,False
yupan,2,iyuk,23,處所焦點,,,False
smburux,1,sburux,2,主事焦點,,,False
gnbaruy,6,baruy,137,零焦點標記,,,False
pnlingan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rheqan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mpquri,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smneqic,2,seqic,17,受事焦點,,,False
tana,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
maxal,15,maxal,29,,名詞,maxan,False
sbbiyan,3,bbiyan,25,參考焦點,,,False
rmuxan,1,remux,23,處所焦點,,,False
kambo,4,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pchepi,1,cehak,7,受事焦點,,,False
sqquru,4,sqquru,4,,其它,,False
jzidensyal,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snbuuc,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ddulun,7,dudul,45,受事焦點,,,False
psdehu,4,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
oyu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mremur,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ike,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
suwae,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tnabus,4,tnabus,4,,名詞,,False
taqita,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kinga,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
syuning,2,syuning,2,,名詞,,False
ngngu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnasuw,1,asuw2,53,受事焦點,,,False
mntexal,2,texal,59,主事焦點,,mnexal; mnexan,False
rdingi,1,rading,3,受事焦點,,,False
tnlaman,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pmexi,1,emux,12,受事焦點,,,False
moto,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
brahun,2,barah,21,受事焦點,,,False
tiyaqung,21,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mphuling,1,huling,226,主事焦點,,,False
qdeun,8,qhedu,94,受事焦點,,qdeyun; qdeun,True
rwhani,1,raguh,24,參考焦點,,,False
pnkuuro,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gidi,4,gidi,4,,名詞,,False
mqecul,1,qecul,13,主事焦點,,mqecun,False
cnhepan,1,cehak,7,受事焦點,,,False
ptyexan,1,eyux,27,處所焦點,,,False
jsokayl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pyqeyaq,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tnbyaxan,1,beyax,128,處所焦點,,,False
uxey,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
knlaun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
msuwae,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
trhera,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
psaping,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tusukwan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ngungu,21,ngungu,29,,多重詞性,,False
mptugesa,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gneegan,2,gao,18,處所焦點,,,False
srriyux,3,riyux,52,主事焦點,,,False
gukuc,7,gukuc,7,,名詞,,False
hmuruc,1,huruc,7,主事焦點,,,False
mpdeqo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sngayan,1,sange,21,處所焦點,,,False
qmalang,4,qalang,29,主事焦點,,,False
wili,4,wili,4,,名詞,,False
kgeun,2,egu,250,受事焦點,,,False
jgonensel,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ksnawan,1,sino,90,處所焦點,,,False
junsa,3,junsa,3,,名詞,,False
kmexun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nngalan,27,angal,424,處所焦點,,,False
klaun,70,kela,519,受事焦點,,,False
hndutr,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mqraqil,2,qraqil,9,主事焦點,,qraqin,False
bgeyac,5,bgeyac,5,,名詞,,False
koriko,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
trqeling,2,Trqeling,2,,名詞,,False
smcudu,2,cudu,18,參考焦點,,,False
qntqeran,1,qtqeran,4,受事焦點,,,False
syawcang,1,syawcang,1,,名詞,,False
hiru,7,hiru,29,,動詞,,False
hiyang,1,hiyang,1,,名詞,,False
kawin,6,kagun,9,,名詞,kawin,True
mtbeno,5,mtbeno,5,,動詞,,False
mkdmidin,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
siyan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mgedang,23,gedang,43,主事焦點,,,False
mdaus,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ptutuy,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tllayan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
thdagan,1,hido,104,處所焦點,,,False
hmrinas,9,hrinas,18,主事焦點,,,False
kmkelan,3,kmekul,38,處所焦點,,,False
lebun,3,eluk,27,受事焦點,,,False
qlmuqi,2,meluq,13,受事焦點,,,False
elu,50,eluw,175,,名詞,elu,True
skumo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tnunan,8,tinun,170,處所焦點,,,False
mssayuk,1,sayuk,3,主事焦點,,,False
ngaya,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
te,21,qita,690,零焦點標記,,qtae,False
bnae,1,bnae,1,,名詞,,False
qmepi,1,qepi,3,,名詞,,False
trrengac,2,rengac,10,受事焦點,,,False
mopux,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
meyax,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ssiyun,1,sisi,4,受事焦點,,,False
tnbarux,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
daygakose,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
knpahan,3,qeepah,228,處所焦點,,,False
bango,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qdiro,2,qdiro,2,,名詞,,False
ssais,3,sais,29,參考焦點,,,False
mtraqil,1,traqil,14,主事焦點,,mtraqin,False
mridil,1,ridil,2,主事焦點,,,False
pmahaan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ccamac,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rasang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
psseung,2,seung1,15,主事焦點,,ppsung,False
klkela,4,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
paye,106,paye,107,,名詞,pae,False
sbekuy,2,bekuy,29,參考焦點,,,False
heru,1,heru,20,,動詞,,False
bnbahang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mnkingal,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
paga,13,paga,13,,名詞,,False
cnebu,4,cebu,84,受事焦點,,,False
gtukan,1,gatuk,17,處所焦點,,,False
snhabo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lumuy,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
deun,6,deur,20,,多重詞性,deun,True
dmnayo,4,dayo,100,主事焦點,,,False
denci,1,denci,1,,名詞,,False
pol,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lnglunge,2,lngelung,154,受事焦點,,,False
bserux,10,bserux,27,,動詞,,False
tarancyo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nugaaguh,2,aguh,33,,名詞,ngaaguh,False
mpdidil,1,didil,20,主事焦點,,,False
mnuwic,1,uwic,15,主事焦點,,,False
tapan,1,atak,43,處所焦點,,,False
ptqaro,1,qaro,4,主事焦點,,,False
nugehi,2,aguh,33,受事焦點,,ngehi,False
pdresiq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pidu,10,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pndhekan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qlbingun,1,qnabil,15,受事焦點,,,False
hmnaqul,1,haqul,14,受事焦點,,,False
smdruak,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hdayu,1,hdayu,16,,動詞,,False
soko,2,soko,2,,名詞,,False
gebuh,1,gebuh,5,,多重詞性,,False
miiyo,5,iyo,11,主事焦點,,,False
mgdheran,2,dheran,189,,其它,,False
npuun,1,upu,100,受事焦點,,,False
mqsiqa,2,siqa,22,參考焦點,,,False
seediq,1044,seediq,1090,,多重詞性,,False
naaguh,2,aguh,33,零焦點標記,,,False
cnhngiyan,5,chungi,43,處所焦點,,,False
qtqitan,1,qteqic,11,處所焦點,,,False
lhaling,1,lhaling,1,,動詞,,False
lnhlahan,1,lhelah,17,,動詞,,False
pyasan,19,uyas,130,處所焦點,,,False
bnuwan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tapi,2,atak,43,,動詞,,False
rmemux,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
msepi,2,sepi,7,主事焦點,,,False
sgcuqi,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nhqilan,3,huqil,57,處所焦點,,,False
mtkerang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnkkarang,1,karang,8,零焦點標記,,pn-kkarang,False
tiuh,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mtsuwai,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
luqi,4,luqi,4,,名詞,,False
mnunuh,1,nunuh,16,主事焦點,,,False
rasan,1,uras,2,,名詞,,False
rnbruban,3,rbruban,11,受事焦點,,,False
msrimuy,1,rimuy,2,主事焦點,,,False
cmucac,6,cmucac,6,,動詞,,False
pqun,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lahuy,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sthedu,1,thedu,5,參考焦點,,,False
tmiyu,1,tiyu,8,主事焦點,,,False
